UID,REC
1,"({65: 1.9350655644037529}, [65, 49, 89, 31, 72, 76, 46, 93, 34])"
2,"({80: 4.904372696191259}, [80, 30, 75, 5, 52, 100, 72, 98, 89])"
3,"({47: 9.17938514423724}, [47, 63, 14, 38, 78, 72, 59, 84, 89])"
4,"({100: 5.338254806048168}, [100, 12, 83, 51, 54, 25, 3, 98, 72])"
5,"({72: 5.056886379163896}, [72, 78, 6, 34, 76, 29, 10, 97, 80])"
6,"({15: -2.191536187233675}, [15, 1, 97, 3, 6, 37, 62, 100, 46])"
7,"({50: 6.683345946838534}, [50, 87, 98, 1, 88, 62, 83, 91, 89])"
8,"({29: 2.066922407839436}, [29, 1, 76, 69, 66, 56, 48, 42, 5])"
9,"({32: 2.4238186896666742}, [32, 69, 89, 47, 29, 14, 21, 70, 28])"
10,"({21: 6.309776732659302}, [21, 65, 81, 72, 87, 47, 100, 48, 69])"
11,"({35: 6.676771602485219}, [35, 69, 65, 61, 42, 54, 46, 81, 26])"
12,"({29: 2.8107889280810716}, [29, 32, 72, 88, 2, 21, 92, 45, 82])"
13,"({35: 7.081689902426499}, [35, 89, 50, 40, 31, 76, 48, 12, 78])"
14,"({1: 8.788951824195905}, [1, 3, 11, 36, 52, 42, 38, 55, 24])"
15,"({90: 3.8938625204929433}, [90, 2, 83, 40, 49, 29, 72, 36, 46])"
16,"({29: 3.8294668653441697}, [29, 81, 35, 46, 48, 92, 13, 96, 17])"
17,"({89: 3.2466247190032678}, [89, 19, 72, 76, 88, 93, 87, 54, 96])"
18,"({73: 5.905691473767559}, [73, 72, 61, 98, 31, 29, 62, 42, 50])"
19,"({53: 3.2978822019839256}, [53, 35, 76, 89, 36, 27, 6, 69, 45])"
20,"({35: 3.323963695663558}, [35, 69, 72, 89, 1, 87, 76, 93, 66])"
21,"({89: 3.1220515932518698}, [89, 27, 93, 72, 7, 88, 95, 76, 92])"
22,"({3: 3.7149842557985977}, [3, 38, 37, 88, 81, 33, 94, 69, 44])"
23,"({53: 5.170312827450674}, [53, 89, 48, 61, 12, 93, 97, 72, 88])"
24,"({72: 7.32945502430708}, [72, 77, 78, 87, 84, 88, 75, 27, 36])"
25,"({36: 4.409673563913675}, [36, 89, 53, 65, 68, 91, 87, 72, 76])"
26,"({11: 6.009134144711384}, [11, 98, 38, 49, 72, 28, 23, 56, 29])"
27,"({48: 3.7333359269754167}, [48, 2, 89, 62, 38, 10, 60, 3, 14])"
28,"({89: 2.1817521284491455}, [89, 32, 15, 27, 87, 76, 88, 94, 72])"
29,"({36: 3.8086420832975114}, [36, 89, 29, 69, 1, 57, 32, 76, 83])"
30,"({100: 5.462336086493877}, [100, 25, 36, 14, 11, 98, 85, 69, 61])"
31,"({32: 4.097436315737928}, [32, 46, 57, 91, 18, 12, 23, 11, 37])"
32,"({81: 3.8094984581307485}, [81, 11, 72, 50, 35, 83, 1, 87, 98])"
33,"({65: 3.7914119223975815}, [65, 27, 72, 42, 73, 100, 38, 20, 41])"
34,"({50: 2.885150241394984}, [50, 89, 98, 87, 83, 35, 3, 53, 95])"
35,"({11: 5.919349395103122}, [11, 22, 62, 3, 52, 12, 49, 56, 69])"
36,"({89: 3.837902493042844}, [89, 72, 27, 29, 76, 47, 93, 54, 87])"
37,"({11: 7.700220405401523}, [11, 34, 14, 39, 48, 36, 26, 100, 69])"
38,"({27: 3.8448076620792286}, [27, 89, 49, 65, 42, 72, 31, 6, 76])"
39,"({6: 4.3736702395916005}, [6, 36, 78, 60, 22, 27, 45, 96, 89])"
40,"({80: 2.806907074838934}, [80, 76, 89, 36, 72, 5, 35, 96, 97])"
41,"({31: 4.0489659601294345}, [31, 72, 100, 89, 76, 62, 98, 78, 93])"
42,"({50: 5.609308286651774}, [50, 21, 81, 100, 18, 14, 85, 98, 76])"
43,"({65: 6.543055693415967}, [65, 39, 53, 34, 54, 100, 69, 12, 25])"
44,"({65: 4.190166576339108}, [65, 35, 54, 5, 76, 46, 51, 61, 25])"
45,"({47: 7.610507108097529}, [47, 54, 66, 6, 11, 86, 94, 91, 2])"
46,"({29: 4.314127693285306}, [29, 76, 36, 72, 50, 10, 35, 46, 25])"
47,"({85: 9.500427843874679}, [85, 12, 21, 83, 78, 72, 84, 42, 80])"
48,"({29: 5.057731715334931}, [29, 65, 69, 80, 26, 73, 76, 72, 68])"
49,"({29: 2.7540772412837047}, [29, 10, 1, 97, 3, 72, 76, 89, 54])"
50,"({96: 3.5645199024512033}, [96, 42, 82, 87, 100, 65, 99, 51, 17])"
51,"({61: 5.970275234975754}, [61, 89, 81, 48, 55, 66, 5, 29, 38])"
52,"({56: 3.7151743580647247}, [56, 89, 76, 45, 6, 72, 3, 60, 78])"
53,"({36: 3.3881492661359927}, [36, 27, 35, 38, 89, 54, 53, 31, 22])"
54,"({79: 2.5987951814140287}, [79, 75, 66, 26, 70, 35, 40, 34, 25])"
55,"({29: 7.238414818983718}, [29, 65, 35, 100, 31, 81, 2, 14, 22])"
56,"({100: 2.6314360480238186}, [100, 54, 52, 50, 89, 98, 26, 6, 27])"
57,"({61: 3.084455962914348}, [61, 76, 26, 48, 98, 47, 40, 100, 11])"
58,"({89: 2.892584840291993}, [89, 94, 86, 90, 18, 72, 93, 91, 78])"
59,"({7: -0.7085017433224636}, [7, 76, 53, 35, 16, 66, 55, 82, 60])"
60,"({66: 7.651567913052188}, [66, 80, 72, 85, 39, 100, 54, 83, 68])"
61,"({9: 7.26635329138958}, [9, 94, 86, 91, 67, 89, 35, 25, 81])"
62,"({56: 5.755201872230909}, [56, 21, 68, 47, 28, 39, 95, 97, 45])"
63,"({14: 6.874443791185138}, [14, 12, 42, 27, 83, 100, 39, 61, 98])"
64,"({66: 2.7922980468052496}, [66, 35, 32, 31, 80, 1, 81, 26, 97])"
65,"({89: 2.2637728355806166}, [89, 47, 76, 62, 72, 91, 83, 93, 78])"
66,"({49: 6.738924595413618}, [49, 76, 78, 47, 97, 93, 91, 73, 83])"
67,"({76: 1.7412179688899525}, [76, 83, 81, 89, 72, 88, 78, 77, 93])"
68,"({21: 5.082517120890293}, [21, 2, 100, 65, 12, 46, 6, 51, 87])"
69,"({98: 0.742984325242036}, [98, 67, 57, 22, 24, 72, 76, 58, 96])"
